Site Name,Trinomial,Assay No.,Provenience (if known),Feature Type,Material,Taxa dated,Human,DatesUse,Error,Corrected/Raw,Corrected/Normalized 14C age, Corrected/Normalized Age,Delta 13C,Delta 13C source,Raw/Measured Age, Raw/Measured Age,AMS or Radiometric,Comments,Reference,pdf,Region
Buckhollow,41KM16,Beta-30205,"Feature 1, Hearth",Hearth,Charcoal,,No,583,50,Corrected,583,50,-24.8,measured,580,50,Radiometric,,CARD March 2020 Database,,CTx
Coleman Cemetary,41BX568,D-AMS-1206-057,Burial 16B,,bone collagen,,Yes,584,28,Corrected,584,28,-16.1,,680,,,,,,CTx
,41HY188,UCIAMS-87936,"Unit 22, NE, Level 10",,bone ,Bison bison,No,585,15,Corrected,585,15,-9.7,measured,,,AMS, ?15N 6.1,"Lohse, J. et al. 2014. A Precise chronology of Middle to Late Holocene bison exploitation in the far southern great plains. Journal of Texas Archaeology and History Vol 1:94-126",Lohse 2014,CTx
Smith Shelter,41TV42,TX-24,"From square 1N-0:C-D, 54 to 60 in, Layer 3",Rockshelter,charcoal,,No,585,85,Raw,,,,,585,85,,"Smith Shelter A, above lowest Scallorn point","Tamers, M.A., F.J. Pearson, and E. Davis. 1964. University of Texas Radiocarbon Dates 2. Radiocarbon Dating Laboratory, Balcones Research Center, The University of Texas. Radiocarbon, Vol 6:138-159. ",Tamers 1964,CTx
,41BX256,D-AMS 008613,Fea 17,,assume C3,,No,586,20,Corrected,586,20,-24.2,,592,,,,,,CTx
,41CV1250,BETA-102137,"Unit #1, Feature #4, Depth 70-80cm",OCCUPATION ZONE,CHARCOAL,OAK,No,590,50,Corrected,590,50,-26.2,measured,,,Radiometric,,Fort Hood Database,,CTx
,41CV1365,BETA-119144,"Unit #1, Feature #3, Depth 20-30cm",BRMI,CHARCOAL,,No,590,60,Corrected,590,60,-26.2,measured,,,AMS,,Fort Hood Database,,CTx
Two-Mile Waterhole site,41UV351,UGA-12397,"Level 3, Feature 1, TP3, 30-40 level cm",Hearth,Charcoal, ,No,590,70,Corrected,590,70,-25.74,Measured,600,70, ,Sample ID: TP3-D20,"Budd, Jon, Goode, Glenn, 2006, Archeological Testing at the Two-Mile Waterhole Site, 41UV351: Farm to Market Road 2369. Uvalde County, Texas, Volume 06, No. 1, Texas Department of Transportation Environmental Affairs Division",Budd 2006,CTx
,41HY188,UCIAMS-87933,"Unit 11, NE, Level 5",,bone ,Bison bison,No,595,15,Corrected,595,15,-10.2,measured,,,AMS, ?15N 5.9,"Lohse, J. et al. 2014. A Precise chronology of Middle to Late Holocene bison exploitation in the far southern great plains. Journal of Texas Archaeology and History Vol 1:94-126",Lohse 2014,CTx
Coleman Cemetary,41BX568,D-AMS-1206-063,Burial 3,,bone collagen,,Yes,598,23,Corrected,598,23,-18.18,,609,,,,,,CTx
,41CV41,BETA-136829,"Unit #2, Feature #2, Depth 30-40cm",BRMI,CHARCOAL,,No,600,50,Corrected,600,50,-23.2,measured,,,AMS,,Fort Hood Database,,CTx
Varga ,41ED28,UGA-12732,"Fea. 8, Blk. B, Unit N119/E70, 10-20 cm",,Charcoal,,No,600,40,Corrected,600,40,-26.6,measured,630,40,,,"Quigg, J. Michael, et al., 2008. The Varga Site: A Multicomponent, Stratified Campsite in the Canyonlands of Edwards County, Texas. TRC Enviromental Corporation, Austin, Texas. Technical Report No. 35319. ",Quigg 2008.pdf,CTx
 ,41UV48,Tx-4429,"Area A, Unit 121-9, Level 3",Midden,Charcoal, ,No,600,40,Raw,0,0,0, ,600,40,Radiometric,Only MASCA Correction given at: A.D. 1350,"Lukowski, Paul D., 1987, Archaeological Investigations Along the Leona River Watershed, Uvalde County, Texas, Archaeological Survey Report, No. 132, Center for Archaeological Research, The University of Texas at San Antonio",Lukowski 1987,CTx
,41CV1167,BETA-79049,"Unit #1, Feature #2, Depth 20-30cm",BURNED POAT,CHARRED WOOD,,No,610,50,Corrected,610,50,-26.5,measured,,,,,Fort Hood Database,,CTx
Zapotec,41HY163,UGAMS-4434,"Level 4, elevation 108.8-108.7, northing 1005, easting 996.4",,bone ,Bison bison,No,610,25,Corrected,610,25,,,,,AMS,"Field number: 1188-765, long bone shaft sampled, bone collagen","2011 Lohse Jon. Prehistoric life, labor, and residence southeast central Texas (41HY163)Archaeological Studies Report 18. Center for Archaeological Studies Texas State University-San Marcos",Lohse 2011,CTx
Coleman Cemetary,41BX568,D-AMS-1206-058,Burial 16A,,bone collagen,,Yes,611,28,Corrected,611,28,-15.6,,622,,,,,,CTx
Coleman Cemetary,41BX568,D-AMS-1206-060,Burial 13C,,bone collagen,,Yes,614,26,Corrected,614,26,-16.5,,614,,,,,,CTx
Coleman Cemetary,41BX568,D-AMS-1206-062,Burial 4,,bone collagen,,Yes,617,23,Corrected,617,23,-15.3,,605,,,,,,CTx
,41BL675,BETA-285827,,HEARTH,CHARCOAL,WHITE OAK,No,620,40,Corrected,620,40,-24.9,measured,,,AMS,,Fort Hood Database,,CTx
,41CX136,Tx-2788,Area B,Hearth ,Charcoal,,No,620,60,Corrected,620,60,,,,,,,"Luke, Clive J., 1983. Continuing Archaeology on Interstate Highway 10: The Musk Hog Canyon Project, Crockett County, Texas. State Department of Highways and Public Transportation, Report No. 24.",Luke 1983,CTx
Varga ,41ED28,UGA-12726,"Fea. 8, Blk. B, Unit N119/E70, 10-20 cm",,Charcoal,,No,620,40,Corrected,620,40,-26.7,measured,640,40,,,"Quigg, J. Michael, et al., 2008. The Varga Site: A Multicomponent, Stratified Campsite in the Canyonlands of Edwards County, Texas. TRC Enviromental Corporation, Austin, Texas. Technical Report No. 35319. ",Quigg 2008.pdf,CTx
Baker,41SS192,D-AMS 035290,Feature 9,,Charcoal,bark,No,624,28,Corrected,624,28,,,,,AMS,,"Kelly Pertulla database, CARD.  Hixson and Whitley 2020, BTAS Vol. 91",,CTx
,41BL233,BETA-64244,,BRMO,CHARCOAL,,No,630,70,Corrected,630,70,-25.8,measured,640,70,AMS,,Fort Hood Database,,CTx
,41CV580,BETA-149105,"Unit #3, Feature #3, Depth 40cm",HEARTH,CHARCOAL,HACKBERRY,No,630,40,Corrected,630,40,-24.1,measured,,,AMS,,Fort Hood Database,,CTx
Dunlap,41CX5,Tx-357,Feature 1,Midden,Charcoal,,No,630,90,Corrected,630,90,,,,,,,"Valastro, S. Jr., 1968. University of Texas at Austin Radiocarbon Dates VI. Vol. 10, No. 2.",Valastro 1968,CTx
Mustang Branch Site (Terrace),41HY209,Beta-37285,"Level 10, 90-100 cm N201/W201",,Charcoal,,No,630,70,Corrected,630,70,,,690,70,,,"Ricklis, R. 1994. Archaic and Late Prehistoric Human Ecology in the Middle Onion Creek Valley, Hays County, Texas. Studies in Archeology 19, TARL. Vol 1 and 2. ",Ricklis 1994,CTx
 ,41UV47,Tx-4435,"Area A, Feature 3",Hearth,Wood Charcoal, ,No,630,70,Raw,0,0,0, ,630,70,Radiometric,Only MASCA Correction given at: A.D. 1210,"Lukowski, Paul D., 1987, Archaeological Investigations Along the Leona River Watershed, Uvalde County, Texas, Archaeological Survey Report, No. 132, Center for Archaeological Research, The University of Texas at San Antonio",Lukowski 1987,CTx
,41BX254,D-AMS 009153,Fea 23,,assume C3,,No,638,20,Corrected,638,20,-21.4,,667,,,,,,CTx
,41BL743,BETA-64255,,BRNO,CHARCOAL,,No,640,60,Corrected,640,60,-26.1,measured,660,60,AMS,,Fort Hood Database,,CTx
,41CV389,BETA-83419,"Unit #1, Feature #2, Depth 60-70cm",BR BASIN SHAPED HEARTH,CHARCOAL,OAK,No,640,130,Corrected,640,130,-26.8,measured,,,,,Fort Hood Database,,CTx
Mustang Branch Site (Terrace),41HY209,Beta-37281,"Feature 12, (60-70)/40-80cm, Level 8, N202/W200",,Charcoal,,No,640,80,Corrected,640,80,,,670,80,,,"Ricklis, R. 1994. Archaic and Late Prehistoric Human Ecology in the Middle Onion Creek Valley, Hays County, Texas. Studies in Archeology 19, TARL. Vol 1 and 2. ",Ricklis 1994,CTx
Graham/Applegate,41LL419,Beta-136370,"feature 12, hearth",hearth,Charcoal,,No,640,40,Corrected,640,40,,,,,AMS,,CARD March 2020 Database,,CTx
Honey Creek,41MS32,Beta-75234,"burned rock midden, level 4",Burned rock midden,Charcoal,,No,640,60,Corrected,640,60,-29.5,measured,715,60,AMS,,,,CTx
,41BL888,TX-8191,,BRMI,CHARCOAL,,No,643,37,Corrected,643,37,-26.1,measured,,,,,Fort Hood Database,,CTx
Onion Creek,41HY209,GX-15756G,"Feature 2 -30-40 cm Lev 4, central pit",Pit,Bone collagen,,No,645,89,Corrected,645,89,,,,,AMS,,CARD March 2020 Database,,CTx
Mustang Branch Site (Bluff),41HY209,GX-15756-G,"Feature 2, Level 4, 30-40 cm, N112/W88",slab lined pit,bone ,,No,645,89,Corrected,645,89,,,,,AMS,mammal bone collagen sampled,"Ricklis, R. 1994. Archaic and Late Prehistoric Human Ecology in the Middle Onion Creek Valley, Hays County, Texas. Studies in Archeology 19, TARL. Vol 1 and 2. ",Ricklis 1994,CTx
Baker,41SS192,D-AMS 035169,Feature 8,,Charcoal,nutshell,No,648,22,Corrected,648,22,,,,,AMS,,"Kelly Pertulla database, CARD.  Hixson and Whitley 2020, BTAS Vol. 91",,CTx
,41BL233,BETA-64249,,BRMO,CHARCOAL,,No,650,70,Corrected,650,70,-26.7,measured,680,70,AMS,,Fort Hood Database,,CTx
Mustang Branch Site (Terrace),41HY209,Beta-37276,"Feature 11, 80-90 cm, N201/W201, Level 8",,Charcoal,,No,650,70,Corrected,650,70,,,680,70,,,"Ricklis, R. 1994. Archaic and Late Prehistoric Human Ecology in the Middle Onion Creek Valley, Hays County, Texas. Studies in Archeology 19, TARL. Vol 1 and 2. ",Ricklis 1994,CTx
Honey Creek,41MS32,CAMS-7457,Level 2,,Seeds,"opuntia seeds, charred",No,650,100,Corrected,650,100,-12.6,measured,590,100,AMS,,,,CTx
Brackenridge Park Paddle Boats Witte Parcel,41BX323,D-AMS-007786,CAR 342,,,,No,655,20,Corrected,655,20,-22.3,,678,,,,,,CTx
,41BX1032,Beta-157707,"Unit 2, Level 3, Feature 3",,charcoal,,No,657,40,Corrected,657,40,-24.6,,650,,,,,,CTx
,41CV1415,BETA-167182,"Unit #5, Feature #5, Depth 140cm",SOIL STAIN,CHARCOAL,,No,660,40,Corrected,660,40,-27.8,measured,,,AMS,,Fort Hood Database,,CTx
,41CX217,Tx-2778,Area D,Midden,,,No,660,60,Corrected,660,60,,,,,,,"Luke, Clive J., 1983. Continuing Archaeology on Interstate Highway 10: The Musk Hog Canyon Project, Crockett County, Texas. State Department of Highways and Public Transportation, Report No. 24.",Luke 1983,CTx
Varga ,41ED28,Beta-175404,"Fea. 9, Blk. B, Unit N117/E71, 14-22 cm",,Charcoal,,No,660,40,Corrected,660,40,-25,estimated,660,40,,,"Quigg, J. Michael, et al., 2008. The Varga Site: A Multicomponent, Stratified Campsite in the Canyonlands of Edwards County, Texas. TRC Enviromental Corporation, Austin, Texas. Technical Report No. 35319. ",Quigg 2008.pdf,CTx
Mustang Branch Site (Terrace),41HY209,Beta-37286,"Level 7, 60-70 cm, N204/W202",,Charcoal,,No,660,50,Corrected,660,50,,,680,50,,,"Ricklis, R. 1994. Archaic and Late Prehistoric Human Ecology in the Middle Onion Creek Valley, Hays County, Texas. Studies in Archeology 19, TARL. Vol 1 and 2. ",Ricklis 1994,CTx
La Jita site,41UV21,Tx-687,"N15/E35, Level 2.", ,Charcoal, ,No,660,70,Raw,0,0,0, ,660,70,Radiometric,Tx-687 duplicated but different dates in this site; AD 1240 +/- 70,"Hester, Thomas, 1971, Archeological Investigations at La Jita Site, Bulletin of the Texas Archeological Society, Volume 42, The Society at Dallas",BTAS Vol._42_1971.pdf,CTx
Heard Schoolhouse Site,41UV86,CAMS-8966, , ,Charcoal,Wood charcoal,No,660,60,Corrected,660,60,-23.23,measured,660,60,AMS, ,Robert Kelly Database- Could not find original source., ,CTx
Baker,41SS192,D-AMS 035170,Feature 9,,Charcoal,deer pea vetch seed,No,667,24,Corrected,667,24,,,,,AMS,,"Kelly Pertulla database, CARD.  Hixson and Whitley 2020, BTAS Vol. 91",,CTx
Brackenridge Park Paddle Boats Witte Parcel,41BX323,D-AMS-007782,CAR 338,,,,No,667,19,Corrected,667,19,-20.2,,707,,,,,,CTx
,41BL1023,BETA-285831,,,CHARCOAL,WHITE OAK,No,670,40,Corrected,670,40,-24.7,measured,,,AMS,,Fort Hood Database,,CTx
,41BL233,BETA-64248,,BRMO,CHARCOAL,,No,670,70,Corrected,670,70,-25.8,measured,680,70,AMS,,Fort Hood Database,,CTx
Dunlap,41CX5,Tx-351,Feature 2,Midden,Charcoal,,No,670,80,Corrected,670,80,,,,,,,"Valastro, S. Jr., 1968. University of Texas at Austin Radiocarbon Dates VI. Vol. 10, No. 2.",Valastro 1968,CTx
San Pedro Springs Park,41BX19,Beta-390003,Unit 4 Level 9,,charred material,,No,670,30,Corrected,670,30,-25.5,,680,,,,,,CTx
,41BX254,D-AMS 008610,Fea 14,,assume C3,,No,671,21,Corrected,671,21,-23.2,,686,,,,,,CTx
Smith Rockshelter,41TV42,Tx-513,Layer VIII,Rockshelter,Charcoal,,No,680,80,Corrected,680,80,-25,estimated,,,Radiometric,,CARD March 2020 Database,,CTx
Anthon Site,41UV60,Tx-2444, , ,Wood Charcoal, ,No,680,86,Corrected,680,86,-25,Estimated,680,50,AMS, ,"Goode, Glenn T, 2002, The Anthon Site: A Prehistoric Encampment in Southern Uvalde County, Texas, Report 38, Texas Antiquities Committee Permit No. 88, Texas Department of Transportation",Goode 2002,CTx
,41BX254,D-AMS 008851,Fea 5,,assume C3,,No,689,30,Corrected,689,30,-23.4,,702,,,,,,CTx
Sleeper Site,41BC65,Beta-17654,,,Woody specimen,,No,690,110,Raw,,,,,690,110,,"Per text, Taxa ""probably juniper"" (p.36). ","LeRoy Johnson, 1991; ""Early Archaic Life at the Sleeper Archaeological Site 41BC65 of the Texas Hill Country Blanco County, Texas"" Texas State Department of Highways and Public Transportation. ","Johnson, 1991.pdf",CTx
,41BL564,BETA-73901,,BRMO,CHARCOAL,,No,690,50,Corrected,690,50,-25.6,measured,,,,,Fort Hood Database,,CTx
,41BL844,TX-8426,,,CHARCOAL,WHITE OAK,No,690,100,Corrected,690,100,-26.2,measured,,,,,Fort Hood Database,,CTx
,41BL991,BETA-153670,,,CHARCOAL,,No,690,40,Corrected,690,40,-23.8,measured,,,AMS,,Fort Hood Database,,CTx
,41CV97,BETA-75154,"Unit #3, Feature #4, Depth 220-230cm",BR HEARTH,CHARCOAL,,No,690,70,Corrected,690,70,-28.5,measured,,,,,Fort Hood Database,,CTx
Corn Creek #2,41MK9,CAMS- 9065,Midden A Lev 2,midden,wood charcoal,,No,690,70,Corrected,690,70,-25,estimated,690,70,AMS,,Robert Kelly Database ,,CTx
Coleman Cemetary,41BX568,Beta-107874,Feature 7,,charcoal,,No,690,70,Corrected,690,70,-25.2,,700,,,,,,CTx
,41CV1432,BETA-119151,"Unit #3, Feature #2, Depth 17-24cm",HEARTH,CHARCOAL,OAK,No,700,70,Corrected,700,70,-25.8,measured,,,RADIOMETRIC,,Fort Hood Database,,CTx
,41CV1555,BETA-136844,"Unit #1, Feature #2, Depth 10-26cm",HEARTH,CHARCOAL,,No,700,50,Corrected,700,50,-26.7,measured,,,AMS,,Fort Hood Database,,CTx
,41CV47,BETA-83257,"Unit #1, Feature #1, Depth 50-60cm",BRMI,CHARCOAL,WHITE OAK,No,700,50,Corrected,700,50,-25,estimated,,,,,Fort Hood Database,,CTx
Hoxie Bridge ,41WM130,TX-2730,,,,,No,700,60,Corrected,700,60,,,,,,,"Ricklis, Robert A. et al, 1994; Archaic and Late Prehistoric Human Ecology in the Middle Onion Creek Valley Hay County, Texas, Archeological Components Vol/ 1; Studies in Archeology 19. ",Ricklis 1994.pdf,CTx
Coleman Cemetary,41BX568,Beta-107873,Feature 5,,charcoal,,No,700,50,Corrected,700,50,-25.2,,700,,,,,,CTx
Smith Shelter,41TV42,TX-23,"From square 0-N1:C-D, 72-91 in, Layer 1 and 2",Rockshelter,charcoal,,No,705,170,Raw,,,,,705,170,,"Smith Shelter 61 sample was split in two- reported twice with different dates; other date of 680+- 150 (raw) removed from database, everything else same as this one","Tamers, M.A., F.J. Pearson, and E. Davis. 1964. University of Texas Radiocarbon Dates 2. Radiocarbon Dating Laboratory, Balcones Research Center, The University of Texas. Radiocarbon, Vol 6:138-159. ",Tamers 1964,CTx
Smith Shelter,41TV42,TX-26,,,,,No,705,95,Corrected,705,95,,,,,,"Smith Shelter 54, Associated with Tamers, et al. 1964:138-159; sixteen Darl, one Scallorn, one Fresno, two Young, one Pedernales, two Ensor, two Abasolo. Also used to define Austin phase","Lohse, J. Stephen Black, Laly Cholak, 2014. Toward an improved Archaic Radiocarbon Chronology for Central Texas. Bulletin of the Texas Archaeological Society 85",Lohse 2014a,CTx
,41BL608,BETA-64258,,BRMO,CHARCOAL,,No,710,50,Corrected,710,50,-25.8,measured,720,50,AMS,,Fort Hood Database,,CTx
,41BL827,BETA-87638,,,CHARCOAL,,No,710,50,Corrected,710,50,-27.5,measured,,,AMS,,Fort Hood Database,,CTx
,41CV686,BETA-155427,"Unit #1, Feature #1, Depth 44cm",BRMO,CHARCOAL,,No,710,40,Corrected,710,40,-26.8,measured,,,AMS,,Fort Hood Database,,CTx
Shepherd Site,41WM1010,Beta 176583,"Block D3, second paleosol, south wall, 180 cmbd",,,,No,710,40,Corrected,710,40,-12.2,measured,500,40,,Material dated not specified,"Dixon, Boyd and Robert Rogers, 2006; ""Prehistoric Encampments at the Shepherd Site: Testing and Data Recovery at 41WM1010 Williamson County, Texas."" PBS&J.�",Dixon 2006.pdf,CTx
,41CV1269,BETA-102142,"Unit #4, Feature #2, Depth 20-30cm",BRMI,CHARCOAL,OAK,No,720,50,Corrected,720,50,-25.9,measured,,,AMS,,Fort Hood Database,,CTx
Brackenridge Park Paddle Boats Witte Parcel,41BX323,D-AMS-007784,CAR 340,,,,No,725,27,Corrected,725,27,-14.8,,702,,,,,,CTx
,41BL827,BETA-87639,,BRMI,CHARCOAL,OAK,No,730,70,Corrected,730,70,-27.6,measured,,,Radiometric,,Fort Hood Database,,CTx
,41CX216,Tx-2780,Area D,Midden,,,No,730,60,Corrected,730,60,,,,,,,"Luke, Clive J., 1983. Continuing Archaeology on Interstate Highway 10: The Musk Hog Canyon Project, Crockett County, Texas. State Department of Highways and Public Transportation, Report No. 24.",Luke 1983,CTx
Zapotec,41HY163,UGAMS-4425,"Unit 16, Level 2",,tooth enamel,Bison bison,No,730,25,Corrected,730,25,,,,,AMS,"Field number: 149-265, Tooth enamel sampled, enamel bioapatite","2011 Lohse Jon. Prehistoric life, labor, and residence southeast central Texas (41HY163)Archaeological Studies Report 18. Center for Archaeological Studies Texas State University-San Marcos",Lohse 2011,CTx
D Herd,41MN68,Beta-262628,"Trench 3, 33-35 cm, immediately below fire-cracked rock lens",,carbon,,No,730,40,Corrected,730,40,-24.6,measured,,,,,"Lohse, Jon C., 2009. Archaeological Investigations on the Herd Ranch in Western Menard County, Texas. Center for Archaeological Studies, Texas State University-San Marcos.",Lohse 2009.pdf,CTx
,41TV2265,Beta-229555,D1L3,,charred material,,No,730,40,Corrected,730,40,-23.5,measured,710,40,AMS,,"Brownlow, R. Frederick, C. 2007. Cultural Resources Investigations on the Proposed 1060-Acre Vizcaya Development, Spicewood, Travis County, Texas. Volume 2: NRHP Eligibility Testing Investigations. Prepared for Lake Travis Ranch, LLC, Horizon Enivironmental Services, Inc. ",Brownlow 2007,CTx
,41TV2265,Beta-229557,"BRM-5 pit, D1L3, 20-30 cmbs",hearth,Charcoal,,No,730,40,Corrected,730,40,-23.5,measured,710,40,AMS,,"Brownlow, R. Frederick, C. 2007. Cultural Resources Investigations on the Proposed 1060-Acre Vizcaya Development, Spicewood, Travis County, Texas. Volume 2: NRHP Eligibility Testing Investigations. Prepared for Lake Travis Ranch, LLC, Horizon Enivironmental Services, Inc. ",Brownlow 2007,CTx
"Area II-C, Site TK-1",41BX1628,Beta-219925,Unit 4 Level 7 and 8 (99.66) ,,charred material,,No,730,50,Corrected,730,50,-25.5,,740,,,,,,CTx
,41BX1902,Beta-310616,TU8 L5 Lot # 121.2U8L5 ,,charred material,,No,730,30,Corrected,730,30,-24.3,,710,,,,,,CTx
,41CV1200,BETA-70027,"Unit #2, Feature #2, Depth 60-70cm",BR,CHARCOAL,,No,740,60,Corrected,740,60,-27,measured,,,,,Fort Hood Database,,CTx
,41CV1200,Beta-70030,Burned rock ,,Charcoal,,No,740,60,Corrected,740,60,-27,measured,,,,,CARD March 2020 Database,,CTx
Corn Creek #2,41MK9,CAMS- 8961,Midden A Lev 2,midden,wood charcoal,,No,740,60,Corrected,740,60,-25,estimated,740,60,AMS,,Robert Kelly Database ,,CTx
Smith Rockshelter,41TV42,Tx-516,Layers V-VI,Rockshelter,Charcoal,,No,740,80,Corrected,740,80,,,,,Radiometric,,CARD March 2020 Database,,CTx
 ,41UV48,Tx-4430,"Area A, Unit 91-17, Level 4",Midden,Charcoal, ,No,740,60,Raw,0,0,0, ,740,60,Radiometric,Only MASCA Correction given at: A.D. 1240,"Lukowski, Paul D., 1987, Archaeological Investigations Along the Leona River Watershed, Uvalde County, Texas, Archaeological Survey Report, No. 132, Center for Archaeological Research, The University of Texas at San Antonio",Lukowski 1987,CTx
,41BL1025,BETA-285832,,HEARTH,CHARCOAL,CARYA ILLINOIENSIS,No,750,40,Corrected,750,40,-24,measured,,,AMS,,Fort Hood Database,,CTx
Corn Creek #2,41MK9,CAMS- 8963,Midden A Lev 4,midden,wood charcoal,,No,750,70,Corrected,750,70,-25,estimated,750,70,AMS,,Robert Kelly Database ,,CTx
The Toyah Bluff Site,41TV441,Beta-131109,"Blk. 1, Feature 11, Lv. 5",,Charred materials,,No,750,50,Corrected,750,50,-27.8,measured,710,50,AMS,Sample TB84,"Duplicate Assay Nos; similar provenience; different dates; Karbula, J. Feit, R., and Griffith, T. (2001). Changing Perspectives on the Toyah: Data Recovery Investigations of 41TV441, The Toyah Bluff Site Travis County, Texas. Hicks and Company Archeology Series No. 94",Karbula 2001,CTx
Kenyon Rockshelter,41TV742,TX-5290,"Feature 6, Unit N1012/W975, Level 5+6, Elevation 92.50-92.40",Burned rock cluster,charred material,,No,750,70,Raw,,,,,750,70,Radiometric,,"Coffman, R., M. Trachte, and M. Collins, 1986. Cultural Ecology of the Kenyon Rockshelter and the Cunningham site, Canyon Creek development, Travis County, Texas. Prewitt and Associates, Inc. No 53.",Coffman 1986,CTx
Kincaid Shelter,41UV2,Tx-213,"Zone 5, Test Pit 2, 72-78 inches below datum", ,Charcoal, ,No,750,130,Raw,0,0,0, ,750,130,Radiometric,"Kincaid 67, A.D. 1200", ,Valastro Radiocarbon 1965 V7,CTx
,41CV41,BETA-136828,"Unit #2, Feature #2, Depth 10-20cm",BRMI,CHARCOAL,OAK,No,760,50,Corrected,760,50,-25.7,measured,,,AMS,,Fort Hood Database,,CTx
 ,41UV48,Tx-4431,"Area A, Unit 120-24, Level 2",Midden,Charcoal, ,No,760,70,Raw,0,0,0, ,760,70,Radiometric,Only MASCA Correction given at: A.D. 1230,"Lukowski, Paul D., 1987, Archaeological Investigations Along the Leona River Watershed, Uvalde County, Texas, Archaeological Survey Report, No. 132, Center for Archaeological Research, The University of Texas at San Antonio",Lukowski 1987,CTx
Cibolo Crossing,41BX377,Beta-126361,N1003 E996 (99.81m),,charred material,,No,762,40,Corrected,762,40,-26.7,,790,,,,,,CTx
Spring Lake,41HY160,PRI-10-88-19.2,Unit 8,,Charcoal,Quercus-Leucobalanus ,No,765,20,Corrected,765,20,-26.6,measured,,,AMS,,CARD March 2020 Database,,CTx
Cibolo Crossing,41BX377,Beta-126365,N1002 E994 (99.73m),,charred material,,No,767,50,Corrected,767,50,-25.8,,780,,,,,,CTx
Painted Indian Cave,41BC1,CAMS-105872,,,Organic material,,No,770,50,Corrected,770,50,-25,estimated,,,AMS,"""�extracted organic material from a non-descript red ocher pictograph sample�""","Emily Brock, et al. 2006; ""Rock Painting Depicting Re-incursion of Bison onto the South Texas Plains: Painted Indian Cave, Perdernales River, Blanco County, Texas"" Plains Anthropologist Vol. 51, No. 198 (May 2006), pp. 199-205. ",Brock 2006.pdf,CTx
,41CV382,BETA-119134,"Unit #1, Feature #1, Depth 106cm",HEARTH,CHARCOAL,JUNIPER,No,770,70,Corrected,770,70,-25.7,measured,,,RADIOMETRIC,,Fort Hood Database,,CTx
,41CV936,BETA-83529,"Unit #2, Feature #1, Depth 10-20cm",BR DISPERSED HEARTH,CHARCOAL,OAK,No,770,60,Corrected,770,60,-26.7,measured,,,,,Fort Hood Database,,CTx
,41CV984,Beta-269716,Feature 3,,Charcoal,Quercus sp.,No,770,40,Corrected,770,40,-24,measured,,,AMS,,CARD March 2020 Database,,CTx
Honey Creek,41MS32,CAMS-7462,Level 3,,Seeds,"green condalia seed, charred",No,770,60,Corrected,770,60,-25,estimated,770,60,AMS,,,,CTx
,41CV1478,BETA-87643,"Unit #1, Depth 190-200cm",,CHARCOAL,OAK,No,780,70,Corrected,780,70,-26.2,measured,,,AMS,,Fort Hood Database,,CTx
,41CV935,BETA-83426,"Unit #2, Depth 10-20cm",,CHARCOAL,,No,780,70,Corrected,780,70,-25.3,measured,,,,,Fort Hood Database,,CTx
Three Dog ,41CX95,Tx-1703,Feature #2,Hearth,Charcoal,,No,780,90,Corrected,780,90,,,,,,,"Valastro, S. Jr., 1977. University of Texas at Austin Radiocarbon Dates XI. Vol. 19, No. 2.",Valastro 1977,CTx
Higgins Site,41BX184,Beta-72607,BRM. Strat 230-44,,charred Juglans sp.,,No,780,60,Corrected,780,60,-26.5,,800,,,,,,CTx
Dobias-Vitek,41WM118,Tx-806,"Fire hearth 3, test fit 4, .3-.6 m below surface",,Charcoal,,No,785,75,Corrected,785,75,,,770,70,Radiometric,Arizona correction,"Kelly Pertulla database, CARD.  Valastro and Davis 1970; Prewitt 1976",,CTx
Cibolo Crossing,41BX377,Beta-126360,N1014 E991 (99.80-99.70m),,charred material,,No,787,40,Corrected,787,40,-25.8,,800,,,,,,CTx
,41BL567,BETA-74069,,,CHARCOAL,,No,790,50,Corrected,790,50,-25.96,measured,,,,,Fort Hood Database,,CTx
,41BL844,TX-8427,,,CHARCOAL,WHITE OAK,No,790,90,Corrected,790,90,-26.4,measured,,,,,Fort Hood Database,,CTx
,41CV905,BETA-83354,"Unit #5, Depth 30-40cm",,CHARCOAL,,No,790,50,Corrected,790,50,-27.3,measured,,,,,Fort Hood Database,,CTx
,41CX252,Tx-2782,"Area A, 100",Buried pit,Charcoal,,No,790,50,Corrected,790,50,,,,,,,"Luke, Clive J., 1983. Continuing Archaeology on Interstate Highway 10: The Musk Hog Canyon Project, Crockett County, Texas. State Department of Highways and Public Transportation, Report No. 24.",Luke 1983,CTx
Mustang Branch Site (Terrace),41HY209,Beta-37280,"Feature 12, Level 7, 60-70 cm, N200/W204",,Charcoal,,No,790,50,Corrected,790,50,,,820,50,,,"Ricklis, R. 1994. Archaic and Late Prehistoric Human Ecology in the Middle Onion Creek Valley, Hays County, Texas. Studies in Archeology 19, TARL. Vol 1 and 2. ",Ricklis 1994,CTx
Flatrock Road,41KM69,UGAMS-4353,,,Pottery Residue,,No,790,30,Corrected,790,30,-21.2,measured,,,AMS,,CARD March 2020 Database,,CTx
